Agareb|10.5847,34.8163;10.5187,34.8441;10.4253,34.8594;10.3095,34.8996;10.2799,34.8546;10.2895,34.8468;10.2672,34.8224;10.2932,34.7693;10.3058,34.7584;10.3031,34.7424;10.3249,34.6979;10.3113,34.7001;10.2950,34.6855;10.3095,34.6626;10.3067,34.6341;10.3273,34.6186;10.3307,34.6078;10.3613,34.5984;10.3672,34.6018;10.3669,34.6276;10.4018,34.6344;10.4238,34.6596;10.4275,34.6553;10.4766,34.6631;10.4786,34.6534;10.4969,34.6422;10.5003,34.6558;10.5115,34.6623;10.5581,34.6239;10.5823,34.6168;10.6135,34.5935;10.6505,34.6353;10.6584,34.6364;10.6631,34.6271;10.6726,34.6290;10.6279,34.6646;10.6196,34.6847;10.5869,34.6975;10.6182,34.7028;10.6153,34.7172;10.6282,34.7291;10.6411,34.7301;10.6436,34.7408;10.6167,34.7413;10.6216,34.7563;10.6086,34.7701;10.6184,34.7720;10.6075,34.7880;10.6152,34.7934;10.6109,34.8038;10.5847,34.8163
Akouda|10.5063,35.9354;10.5480,35.8993;10.5475,35.8804;10.5603,35.8633;10.5233,35.8474;10.5267,35.8430;10.5628,35.8465;10.5692,35.8606;10.5894,35.8663;10.5684,35.8923;10.5831,35.9018;10.5745,35.9137;10.5808,35.9163;10.5396,35.9646;10.5279,35.9691;10.5063,35.9569;10.5117,35.9396;10.5063,35.9354
Amdoun|8.9169,36.7839;8.9113,36.7781;8.9162,36.7733;8.9497,36.7644;8.9947,36.7658;9.0276,36.7499;9.0367,36.7249;9.0272,36.7063;9.0325,36.7012;9.0277,36.6950;9.0323,36.6840;9.0273,36.6844;9.0232,36.6683;9.0162,36.6677;9.0204,36.6592;9.0326,36.6587;9.0824,36.6865;9.0636,36.7133;9.0701,36.7248;9.1356,36.7700;9.1399,36.7799;9.1326,36.7822;9.1264,36.7980;9.1268,36.8275;9.1438,36.8463;9.1141,36.8551;9.1151,36.8468;9.0994,36.8347;9.1026,36.8296;9.0871,36.8188;9.0769,36.8346;9.0635,36.8397;9.0762,36.8524;9.0721,36.8615;9.0604,36.8665;9.0611,36.8751;9.0527,36.8840;9.0255,36.8967;9.0125,36.8854;9.0010,36.8858;8.9994,36.8757;8.9889,36.8753;8.9942,36.8589;8.9847,36.8479;8.9422,36.8384;8.9179,36.8061;8.9335,36.8036;8.9334,36.7899;8.9169,36.7839
Ariana Ville|10.1463,36.8548;10.1694,36.8405;10.2023,36.8504;10.2028,36.8590;10.1628,36.8899;10.1542,36.8907;10.1487,36.8763;10.1380,36.8689;10.1463,36.8548
Aïn Draham|8.6540,36.9157;8.6362,36.9089;8.6305,36.8969;8.6250,36.8538;8.6625,36.8520;8.6811,36.8390;8.6694,36.8173;8.6219,36.8008;8.6111,36.7909;8.5996,36.7987;8.5725,36.7732;8.5535,36.7788;8.5323,36.7743;8.5274,36.7826;8.4841,36.7795;8.4299,36.7595;8.4289,36.7487;8.4641,36.7484;8.4700,36.7414;8.4641,36.7354;8.4658,36.7252;8.4838,36.6987;8.4970,36.7034;8.5338,36.6955;8.5659,36.7043;8.6065,36.7410;8.6081,36.7315;8.6015,36.7251;8.6126,36.7133;8.6116,36.6972;8.6494,36.6728;8.6587,36.7014;8.6785,36.7159;8.6799,36.7309;8.6976,36.7242;8.7238,36.7440;8.7418,36.7470;8.7413,36.7354;8.7495,36.7230;8.7594,36.7236;8.7763,36.7085;8.8388,36.7242;8.8683,36.7242;8.8738,36.7400;8.8606,36.7368;8.8913,36.7647;8.8960,36.7792;8.9334,36.7899;8.9335,36.8036;8.8924,36.8072;8.8758,36.8149;8.8695,36.8256;8.8749,36.8343;8.8679,36.8602;8.8440,36.8669;8.7978,36.8404;8.7831,36.8460;8.7552,36.8406;8.7196,36.8623;8.7114,36.8517;8.6813,36.8698;8.6917,36.8769;8.6997,36.8945;8.6911,36.9088;8.6768,36.9012;8.6643,36.9163;8.6540,36.9157
Bab Bhar|10.1768,36.7930;10.2058,36.7785;10.2239,36.8029;10.1909,36.8117;10.1784,36.8227;10.1735,36.8098;10.1768,36.7930
Bab Souika|10.1551,36.7989;10.1684,36.8053;10.1752,36.8023;10.1745,36.8127;10.1487,36.8092;10.1551,36.7989
Balta-Bou Aouane|8.8197,36.7169;8.8213,36.6992;8.7859,36.6783;8.7743,36.6469;8.8021,36.6197;8.8091,36.6008;8.8120,36.6097;8.8292,36.6190;8.8398,36.6121;8.8553,36.6141;8.9194,36.6413;8.9201,36.6330;8.9331,36.6325;8.9216,36.6272;8.9277,36.6219;8.9242,36.6141;8.9574,36.6182;8.9610,36.6105;8.9751,36.6114;9.0044,36.6258;9.0097,36.6596;9.0181,36.6625;9.0162,36.6677;9.0232,36.6683;9.0273,36.6844;9.0323,36.6840;9.0277,36.6950;9.0325,36.7012;9.0272,36.7063;9.0367,36.7249;9.0276,36.7499;9.0185,36.7565;8.9947,36.7658;8.9444,36.7652;8.9162,36.7733;8.9113,36.7781;8.9169,36.7839;8.9079,36.7863;8.8606,36.7368;8.8738,36.7400;8.8683,36.7242;8.8388,36.7242;8.8197,36.7169
Bargou|9.7556,36.1136;9.7697,36.1439;9.7440,36.1598;9.7247,36.1635;9.7200,36.1985;9.6731,36.2294;9.6714,36.2172;9.6551,36.2157;9.6494,36.2243;9.6481,36.2150;9.6017,36.1843;9.5617,36.1764;9.5341,36.1812;9.5056,36.1673;9.4783,36.1711;9.4946,36.1419;9.4926,36.1327;9.5022,36.1184;9.4957,36.1085;9.5115,36.0742;9.4965,36.0650;9.4756,36.0225;9.5219,36.0196;9.5318,36.0108;9.5260,35.9854;9.5381,35.9850;9.5644,35.9980;9.5852,35.9854;9.5880,35.9736;9.6024,35.9739;9.6305,35.9952;9.6296,36.0038;9.6445,36.0162;9.7042,36.0503;9.7120,36.0637;9.7533,36.0901;9.7556,36.1136
Bekalta|11.0307,35.5544;11.0329,35.5807;11.0499,35.6243;11.0109,35.6370;10.9957,35.6231;10.9792,35.6259;10.9728,35.6178;10.9844,35.6128;10.9796,35.6057;10.9825,35.5893;10.9982,35.5552;11.0307,35.5544
