P|2|9.7327,37.2502;9.7781,37.2708;9.8441,37.2873;9.8647,37.2791
P|2|9.2708,37.0770;9.2790,37.1017;9.2708,37.1265;9.2914,37.1347;9.3698,37.1512;9.4316,37.1924;9.4605,37.2048;9.4935,37.2007;9.5348,37.2213;9.5513,37.2254;9.5801,37.2131;9.6131,37.2131;9.6296,37.2172;9.6997,37.2172;9.7327,37.2502
P|2|9.7327,37.2502;9.7369,37.2213;9.7822,37.1801;9.7822,37.1594;9.6874,37.0398
P|2|9.2708,37.0770;9.2914,37.0605;9.3162,37.0522;9.3574,37.0481;9.4523,37.0687;9.4770,37.0605;9.4894,37.0646;9.5183,37.0935;9.5306,37.1017;9.5554,37.1058;9.5801,37.0976;9.6214,37.0770;9.6585,37.0522;9.6874,37.0398
P|2,3|9.0769,36.9739;9.1017,37.0027;9.1017,37.0440;9.1223,37.0646;9.1636,37.0605;9.1966,37.0852;9.2708,37.0770
P|3,7|8.7594,36.9409;8.7882,36.9285;8.8130,36.9285;8.8790,36.9367;8.9367,36.9697;8.9738,36.9739;9.0357,36.9615;9.0769,36.9739
P|0,2|9.8647,37.2791;9.8688,37.2626;9.9018,37.2461;9.9225,37.2296;9.9472,37.1883;9.9884,37.1430;9.9884,37.1141;9.9967,37.0935;10.0297,37.0440;10.0421,37.0357;10.0503,37.0110;10.1081,36.9244;10.1163,36.8914
P|7|8.5738,36.8872;8.6728,36.9244;8.7099,36.9615;8.7387,36.9532;8.7594,36.9409
P|2,12|9.6874,37.0398;9.7451,37.0357;9.7905,37.0522;9.8152,37.0481;9.8895,37.0151;9.8977,36.9945;9.9018,36.9367;9.9225,36.8914;9.9142,36.8625
P|12,22|9.9142,36.8625;9.9225,36.8377;9.9431,36.8254;9.9967,36.8212;10.0214,36.8130;10.0462,36.8130;10.1204,36.8295
P|7|8.5738,36.8872;8.5820,36.8542;8.5944,36.8336;8.6439,36.8047;8.6728,36.8006
P|22|10.1204,36.8295;10.1452,36.8295;10.1575,36.8254;10.1782,36.7965
P|22|10.1782,36.7965;10.1947,36.7800
M|1,22|10.1947,36.7800;10.2194,36.7635;10.2400,36.7429
P|2,3|9.6874,37.0398;9.6750,37.0275;9.6502,37.0110;9.6214,36.9780;9.5843,36.9491;9.5224,36.9326;9.4976,36.9202;9.4481,36.8666;9.4193,36.8501;9.4069,36.8501;9.3987,36.8377;9.3904,36.8089;9.3739,36.7965;9.3450,36.7841;9.2419,36.7553;9.2213,36.7346
P|3|9.0769,36.9739;9.0976,36.9202;9.1099,36.9120;9.1512,36.9120;9.1801,36.8996;9.2131,36.8666;9.2089,36.8542;9.1842,36.8336;9.1718,36.8089;9.1718,36.7800;9.1759,36.7594;9.1842,36.7470;9.2089,36.7346
P|1,15|10.4586,36.6769;10.4421,36.7058;10.4298,36.7140;10.4009,36.7223;10.3720,36.7223;10.2978,36.7470;10.2524,36.7470;10.2400,36.7429
M|3|9.5801,36.6686;9.5430,36.6769;9.4688,36.6728;9.4152,36.6893;9.3780,36.6851;9.3450,36.7058;9.3038,36.7099;9.2584,36.7264;9.2213,36.7346
M|3,12,22|10.1782,36.7965;10.1163,36.8006;10.0544,36.7676;9.9843,36.7470;9.9348,36.7264;9.8400,36.6975;9.8070,36.6769;9.7616,36.6398;9.7327,36.6233;9.7121,36.6274;9.6874,36.6439;9.6626,36.6480;9.6172,36.6439;9.6049,36.6521
M|3,7|9.2089,36.7346;9.1759,36.7099;9.1471,36.6521;9.1264,36.6356;9.0151,36.6233;8.9780,36.6109;8.9656,36.5779;8.9532,36.5697;8.9285,36.5614;8.8171,36.5078;8.7841,36.4995;8.7759,36.4913
P|7|8.6728,36.8006;8.6851,36.7883;8.6934,36.7635;8.6893,36.7305;8.6728,36.7058;8.6934,36.6645;8.6893,36.6398;8.6893,36.6150;8.7016,36.5779;8.7140,36.5532;8.7429,36.5325;8.7759,36.4913
P|3|9.6008,36.6480;9.5801,36.6315;9.5348,36.6109;9.4935,36.5655;9.4481,36.5449;9.4193,36.5408;9.3657,36.5243;9.3327,36.4995;9.2790,36.4707;9.2625,36.4500
